strike,option_type,expiration,last_price,implied_volatility
140.0,call,2026-07-17,40.0,0.23851851851851852
140.0,put,2026-07-17,1.0,0.23851851851851852
145.0,call,2026-07-17,35.0,0.2353935185185185
145.0,put,2026-07-17,1.5,0.2353935185185185
150.0,call,2026-07-17,30.0,0.2325
150.0,put,2026-07-17,2.0,0.2325
155.0,call,2026-07-17,25.0,0.22983796296296297
155.0,put,2026-07-17,2.5,0.22983796296296297
160.0,call,2026-07-17,20.0,0.22740740740740742
160.0,put,2026-07-17,3.0,0.22740740740740742
165.0,call,2026-07-17,15.0,0.22520833333333334
165.0,put,2026-07-17,3.5,0.22520833333333334
170.0,call,2026-07-17,10.0,0.22324074074074074
170.0,put,2026-07-17,4.0,0.22324074074074074
175.0,call,2026-07-17,5.0,0.22150462962962963
175.0,put,2026-07-17,4.5,0.22150462962962963
180.0,call,2026-07-17,5.0,0.22
180.0,put,2026-07-17,5.0,0.22
185.0,call,2026-07-17,4.5,0.21872685185185187
185.0,put,2026-07-17,5.0,0.21872685185185187
190.0,call,2026-07-17,4.0,0.2176851851851852
190.0,put,2026-07-17,10.0,0.2176851851851852
195.0,call,2026-07-17,3.5,0.21687499999999998
195.0,put,2026-07-17,15.0,0.21687499999999998
200.0,call,2026-07-17,3.0,0.2162962962962963
200.0,put,2026-07-17,20.0,0.2162962962962963
205.0,call,2026-07-17,2.5,0.21594907407407407
205.0,put,2026-07-17,25.0,0.21594907407407407
210.0,call,2026-07-17,2.0,0.21583333333333335
210.0,put,2026-07-17,30.0,0.21583333333333335
215.0,call,2026-07-17,1.5,0.21594907407407407
215.0,put,2026-07-17,35.0,0.21594907407407407
220.0,call,2026-07-17,1.0,0.21629629629629632
220.0,put,2026-07-17,40.0,0.21629629629629632
140.0,call,2026-08-21,40.0,0.23851851851851852
140.0,put,2026-08-21,1.0,0.23851851851851852
145.0,call,2026-08-21,35.0,0.2353935185185185
145.0,put,2026-08-21,1.5,0.2353935185185185
150.0,call,2026-08-21,30.0,0.2325
150.0,put,2026-08-21,2.0,0.2325
155.0,call,2026-08-21,25.0,0.22983796296296297
155.0,put,2026-08-21,2.5,0.22983796296296297
160.0,call,2026-08-21,20.0,0.22740740740740742
160.0,put,2026-08-21,3.0,0.22740740740740742
165.0,call,2026-08-21,15.0,0.22520833333333334
165.0,put,2026-08-21,3.5,0.22520833333333334
170.0,call,2026-08-21,10.0,0.22324074074074074
170.0,put,2026-08-21,4.0,0.22324074074074074
175.0,call,2026-08-21,5.0,0.22150462962962963
175.0,put,2026-08-21,4.5,0.22150462962962963
180.0,call,2026-08-21,5.0,0.22
180.0,put,2026-08-21,5.0,0.22
185.0,call,2026-08-21,4.5,0.21872685185185187
185.0,put,2026-08-21,5.0,0.21872685185185187
190.0,call,2026-08-21,4.0,0.2176851851851852
190.0,put,2026-08-21,10.0,0.2176851851851852
195.0,call,2026-08-21,3.5,0.21687499999999998
195.0,put,2026-08-21,15.0,0.21687499999999998
200.0,call,2026-08-21,3.0,0.2162962962962963
200.0,put,2026-08-21,20.0,0.2162962962962963
205.0,call,2026-08-21,2.5,0.21594907407407407
205.0,put,2026-08-21,25.0,0.21594907407407407
210.0,call,2026-08-21,2.0,0.21583333333333335
210.0,put,2026-08-21,30.0,0.21583333333333335
215.0,call,2026-08-21,1.5,0.21594907407407407
215.0,put,2026-08-21,35.0,0.21594907407407407
220.0,call,2026-08-21,1.0,0.21629629629629632
220.0,put,2026-08-21,40.0,0.21629629629629632
140.0,call,2026-10-16,40.0,0.23851851851851852
140.0,put,2026-10-16,1.0,0.23851851851851852
145.0,call,2026-10-16,35.0,0.2353935185185185
145.0,put,2026-10-16,1.5,0.2353935185185185
150.0,call,2026-10-16,30.0,0.2325
150.0,put,2026-10-16,2.0,0.2325
155.0,call,2026-10-16,25.0,0.22983796296296297
155.0,put,2026-10-16,2.5,0.22983796296296297
160.0,call,2026-10-16,20.0,0.22740740740740742
160.0,put,2026-10-16,3.0,0.22740740740740742
165.0,call,2026-10-16,15.0,0.22520833333333334
165.0,put,2026-10-16,3.5,0.22520833333333334
170.0,call,2026-10-16,10.0,0.22324074074074074
170.0,put,2026-10-16,4.0,0.22324074074074074
175.0,call,2026-10-16,5.0,0.22150462962962963
175.0,put,2026-10-16,4.5,0.22150462962962963
180.0,call,2026-10-16,5.0,0.22
180.0,put,2026-10-16,5.0,0.22
185.0,call,2026-10-16,4.5,0.21872685185185187
185.0,put,2026-10-16,5.0,0.21872685185185187
190.0,call,2026-10-16,4.0,0.2176851851851852
190.0,put,2026-10-16,10.0,0.2176851851851852
195.0,call,2026-10-16,3.5,0.21687499999999998
195.0,put,2026-10-16,15.0,0.21687499999999998
200.0,call,2026-10-16,3.0,0.2162962962962963
200.0,put,2026-10-16,20.0,0.2162962962962963
205.0,call,2026-10-16,2.5,0.21594907407407407
205.0,put,2026-10-16,25.0,0.21594907407407407
210.0,call,2026-10-16,2.0,0.21583333333333335
210.0,put,2026-10-16,30.0,0.21583333333333335
215.0,call,2026-10-16,1.5,0.21594907407407407
215.0,put,2026-10-16,35.0,0.21594907407407407
220.0,call,2026-10-16,1.0,0.21629629629629632
220.0,put,2026-10-16,40.0,0.21629629629629632
140.0,call,2027-01-15,40.0,0.23851851851851852
140.0,put,2027-01-15,1.0,0.23851851851851852
145.0,call,2027-01-15,35.0,0.2353935185185185
145.0,put,2027-01-15,1.5,0.2353935185185185
150.0,call,2027-01-15,30.0,0.2325
150.0,put,2027-01-15,2.0,0.2325
155.0,call,2027-01-15,25.0,0.22983796296296297
155.0,put,2027-01-15,2.5,0.22983796296296297
160.0,call,2027-01-15,20.0,0.22740740740740742
160.0,put,2027-01-15,3.0,0.22740740740740742
165.0,call,2027-01-15,15.0,0.22520833333333334
165.0,put,2027-01-15,3.5,0.22520833333333334
170.0,call,2027-01-15,10.0,0.22324074074074074
170.0,put,2027-01-15,4.0,0.22324074074074074
175.0,call,2027-01-15,5.0,0.22150462962962963
175.0,put,2027-01-15,4.5,0.22150462962962963
180.0,call,2027-01-15,5.0,0.22
180.0,put,2027-01-15,5.0,0.22
185.0,call,2027-01-15,4.5,0.21872685185185187
185.0,put,2027-01-15,5.0,0.21872685185185187
190.0,call,2027-01-15,4.0,0.2176851851851852
190.0,put,2027-01-15,10.0,0.2176851851851852
195.0,call,2027-01-15,3.5,0.21687499999999998
195.0,put,2027-01-15,15.0,0.21687499999999998
200.0,call,2027-01-15,3.0,0.2162962962962963
200.0,put,2027-01-15,20.0,0.2162962962962963
205.0,call,2027-01-15,2.5,0.21594907407407407
205.0,put,2027-01-15,25.0,0.21594907407407407
210.0,call,2027-01-15,2.0,0.21583333333333335
210.0,put,2027-01-15,30.0,0.21583333333333335
215.0,call,2027-01-15,1.5,0.21594907407407407
215.0,put,2027-01-15,35.0,0.21594907407407407
220.0,call,2027-01-15,1.0,0.21629629629629632
220.0,put,2027-01-15,40.0,0.21629629629629632
